================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
6373,  00000.49,  00007.32,  01039.06, -00000.64,  00001.75, -00000.24, -00001.95, -00036.00,  00103.95,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6417,  00003.91,  00013.67,  01020.02, -00000.09,  00001.45,  00000.68, -00001.95, -00036.00,  00103.65,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6468,  00000.98, -00006.35,  01018.07, -00001.56,  00004.43, -00005.13, -00003.60, -00036.75,  00103.95,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6519,  00003.91,  00013.18,  01012.21, -00000.61,  00002.83,  00000.38, -00003.60, -00036.00,  00103.20,  00021.99, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6571,  00006.84,  00017.09,  01011.23,  00000.65,  00000.34,  00000.34, -00003.00, -00036.90,  00104.10,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 95.00, 90.00, 90.00, 0, 2
6622,  00007.32,  00011.72,  01017.58,  00001.26,  00001.47, -00001.83, -00003.00, -00035.40,  00103.05,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6673, -00002.93,  00006.84,  01012.70,  00001.38,  00002.84,  00003.68, -00002.70, -00036.00,  00102.00,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 93.00, 90.00, 90.00, 0, 2
6724,  00011.23,  00006.84,  01017.58,  00002.54,  00002.85, -00001.22, -00003.15, -00036.00,  00103.65,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6775,  00005.37,  00014.16,  01016.60,  00001.22,  00002.18, -00000.47, -00004.35, -00037.50,  00102.75,  00021.85, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6827,  00009.28,  00015.14,  01011.72, -00001.09,  00001.62, -00000.24, -00003.90, -00036.00,  00102.75,  00022.23, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6878,  00005.86,  00017.09,  01003.42,  00000.10,  00000.98,  00000.30, -00003.75, -00034.95,  00103.35,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6929,  00013.67,  00004.39,  01021.48,  00001.33,  00003.36,  00001.53, -00003.15, -00036.30,  00103.65,  00021.75, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
6980,  00002.93,  00012.21,  01015.14,  00001.24,  00002.48, -00001.66, -00003.00, -00036.45,  00104.10,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7031,  00009.28,  00009.28,  01017.09,  00001.74,  00002.10,  00004.03, -00003.00, -00035.70,  00104.10,  00021.85, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7083, -00003.42,  00003.42,  01027.83, -00000.75,  00000.97,  00003.05, -00003.60, -00036.00,  00103.95,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7134,  00008.30,  00010.25,  01015.14,  00001.21,  00002.66,  00000.98, -00003.15, -00036.00,  00103.95,  00021.75, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7185,  00008.30,  00008.30,  01017.58, -00000.18,  00000.31,  00001.14, -00003.30, -00036.90,  00103.05,  00022.28, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7236,  00006.84,  00008.30,  01023.44,  00001.27,  00001.21, -00001.77, -00001.50, -00035.55,  00102.75,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7287,  00015.14,  00004.39,  01015.62, -00001.45,  00004.42,  00002.44, -00002.40, -00037.50,  00104.70,  00022.28, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7339,  00007.32,  00003.91,  01017.58,  00000.10,  00000.56, -00000.77, -00002.70, -00037.80,  00103.65,  00021.99, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7390,  00011.72, -00000.98,  01020.02, -00000.34, -00000.28,  00003.11, -00002.10, -00035.70,  00104.85,  00022.18, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7441,  00006.84,  00004.88,  01013.18, -00000.41,  00002.97, -00001.98, -00002.55, -00036.15,  00104.10,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7492,  00005.86,  00004.88,  01019.04,  00000.27,  00000.55,  00000.39, -00003.15, -00036.75,  00103.65,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7543,  00010.74, -00000.49,  01012.70,  00000.40,  00003.71,  00000.20, -00003.60, -00035.55,  00103.65,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7595,  00005.86,  00001.95,  01016.60,  00000.19, -00000.41, -00001.21, -00002.70, -00037.05,  00104.40,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7646,  00013.18,  00013.67,  01019.04,  00000.34,  00002.71, -00000.92, -00003.90, -00037.05,  00102.75,  00021.75, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7697,  00000.98,  00011.72,  01013.67, -00000.38,  00001.44, -00004.47, -00003.60, -00036.00,  00102.75,  00021.70, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7748,  00007.81,  00005.37,  01005.37,  00000.87, -00001.57, -00000.95, -00003.75, -00036.90,  00103.35,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7799,  00001.46,  00006.84,  01014.16, -00000.88, -00002.27,  00000.85, -00002.55, -00036.15,  00104.10,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7851,  00008.30,  00009.28,  01012.21,  00001.54,  00000.70,  00000.39, -00002.70, -00037.50,  00104.40,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7902,  00003.42, -00004.39,  01010.25,  00000.83,  00001.92, -00000.98, -00001.80, -00036.15,  00104.55,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
7953, -00002.44,  00007.81,  01012.70,  00000.53,  00000.36, -00000.87, -00000.30, -00035.55,  00102.45,  00021.90, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8004,  00002.44, -00006.84,  01007.81, -00000.76,  00002.89, -00001.31, -00003.15, -00036.00,  00102.75,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8055,  00000.49,  00000.49,  01013.18,  00001.11,  00000.37, -00002.72, -00003.60, -00036.75,  00104.40,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8107,  00008.79,  00006.84,  01016.60, -00000.99,  00001.54,  00000.81, -00002.55, -00036.45,  00103.80,  00022.18, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8158,  00001.46,  00008.79,  01028.32, -00001.78,  00003.25, -00000.37, -00004.50, -00036.90,  00104.10,  00022.23, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 92.00, 89.00, 90.00, 0, 2
8209,  00019.04,  00015.62,  01020.51, -00001.16,  00000.26, -00001.47, -00003.00, -00036.45,  00103.80,  00021.85, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8260,  00011.23,  00003.91,  01023.44, -00000.92,  00000.77,  00002.27, -00001.80, -00037.20,  00103.35,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8311,  00002.93,  00005.37,  01013.18, -00000.02,  00001.66,  00000.89, -00002.55, -00036.90,  00104.55,  00021.70, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 85.00, 0, 2
8363, -00002.44,  00008.79,  01017.09,  00000.50,  00002.43,  00002.44, -00002.55, -00036.15,  00102.30,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8414,  00017.09,  00009.28,  01016.11, -00000.76,  00000.31,  00000.89, -00002.10, -00035.70,  00103.05,  00022.23, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8465,  00006.35,  00013.18,  01022.95,  00001.08,  00000.49,  00001.02, -00002.70, -00037.05,  00103.20,  00022.09, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8516,  00004.88,  00000.98,  01023.44,  00000.11,  00001.98,  00001.82, -00003.15, -00036.00,  00102.75,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8567,  00008.30, -00000.49,  01010.74, -00000.41,  00001.82,  00001.86, -00001.80, -00036.90,  00103.35,  00022.04, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8619,  00008.79,  00011.72,  01017.09, -00001.37,  00000.73, -00002.94, -00003.75, -00036.45,  00102.60,  00022.18, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8670,  00001.95,  00005.86,  01003.42, -00000.40,  00004.26,  00000.44, -00001.80, -00037.20,  00104.85,  00022.18, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8721,  00001.95,  00010.74,  01014.65,  00000.66, -00000.34, -00004.48, -00002.55, -00034.95,  00104.10,  00022.18, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8772,  00004.88,  00003.42,  01020.51, -00000.13,  00002.70,  00000.50, -00003.00, -00036.15,  00103.35,  00022.23, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
8823,  00008.30, -00002.93,  01015.14, -00000.21,  00002.92,  00000.32, -00003.15, -00037.80,  00102.75,  00022.18, 0, 0, 0, 0, 0, 99.99, 0, 0.00, 94.00, 90.00, 90.00, 0, 2
