================================ Starting Log =================================
Current Time: 2021-4-19 2:36:9.200
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Throttle Val (0-180), Aileron Servo (deg), Elevator Servo (deg), Rudder Servo (deg), Auto Mode (deg), Aux Mode
3277,  00007.32,  00017.58,  01020.51,  00000.28,  00000.69, -00002.32, -00000.75, -00036.00,  00101.25,  00021.56, 434106974, -720613797, 372377, 134, 28500565, 2.52, 4, 2.00, 94.00, 90.00, 92.00, 0, 2
3319, -00005.86,  00006.35,  01011.23,  00001.11,  00002.50,  00002.37, -00001.95, -00035.25,  00100.95,  00021.56, 434106974, -720613797, 372377, 134, 28500565, 2.52, 4, 0.00, 94.00, 90.00, 90.00, 0, 2
3371,  00000.00,  00013.67,  01012.70, -00002.72,  00000.90,  00002.45, -00001.20, -00036.00,  00100.50,  00021.56, 434107220, -720613893, 353486, 439, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3422,  00010.74,  00000.00,  01021.48,  00000.11,  00000.79, -00002.46, -00002.70, -00035.55,  00100.95,  00021.46, 434107101, -720614296, 363325, 389, 28500565, 10.71, 5, 0.00, 92.00, 89.00, 90.00, 0, 2
3473, -00002.44,  00004.88,  01027.83, -00000.18,  00002.40, -00001.05, -00001.95, -00035.55,  00100.95,  00021.37, 434107101, -720614296, 363325, 389, 28500565, 10.71, 5, 0.00, 93.00, 90.00, 90.00, 0, 2
3524,  00006.84,  00007.81,  01008.30, -00000.32,  00000.75, -00000.66, -00001.95, -00035.55,  00099.45,  00021.99, 434107253, -720614275, 363576, 337, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3575,  00000.00,  00003.91,  01013.18,  00001.01,  00000.69,  00000.02, -00001.80, -00036.15,  00100.80,  00021.56, 434107253, -720614275, 363576, 337, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3627,  00004.39,  00008.30,  01026.37,  00001.34,  00002.57, -00001.28, -00002.40, -00036.30,  00100.95,  00021.56, 434107317, -720614411, 366466, 213, 28500565, 10.71, 5, 0.00, 93.00, 90.00, 90.00, 0, 2
3678,  00014.16,  00007.32,  01022.95,  00000.90,  00000.73,  00000.77, -00001.50, -00036.30,  00099.45,  00021.46, 434107317, -720614411, 366466, 213, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3729,  00003.42,  00006.35,  01012.70, -00000.88,  00001.47,  00001.76, -00002.40, -00035.25,  00099.75,  00021.85, 434107307, -720614503, 370794, 117, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3780,  00008.79,  00000.98,  01014.16, -00000.72,  00000.33,  00000.94, -00001.35, -00036.15,  00099.90,  00021.70, 434107307, -720614503, 370794, 117, 28500565, 10.71, 5, 0.00, 93.00, 90.00, 90.00, 0, 2
3831,  00005.37,  00009.77,  01020.02, -00000.30,  00001.60, -00002.10, -00003.00, -00035.70,  00099.90,  00021.66, 434107265, -720614559, 375786, 258, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3883,  00001.46, -00002.44,  01010.25,  00000.69,  00003.41, -00000.76, -00000.60, -00035.40,  00099.90,  00021.56, 434107265, -720614559, 375786, 258, 28500565, 10.71, 5, 0.00, 93.00, 89.00, 90.00, 0, 2
3934,  00002.44,  00011.72,  01014.16,  00001.63,  00000.19, -00001.46, -00002.70, -00036.00,  00100.20,  00021.46, 434107263, -720614601, 377773, 249, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
3985, -00002.44,  00009.77,  01006.84,  00001.22,  00000.56, -00001.28, -00001.80, -00036.15,  00100.80,  00021.37, 434107263, -720614601, 377773, 249, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4036, -00003.42,  00011.72,  01016.11, -00000.31,  00001.36, -00002.94, -00002.10, -00035.70,  00100.35,  00021.46, 434107200, -720614695, 382051, 313, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4087,  00002.44, -00006.84,  01010.74,  00001.09,  00003.51, -00000.85, -00001.20, -00036.00,  00100.20,  00021.56, 434107200, -720614695, 382051, 313, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4139,  00004.88,  00011.23,  01015.62, -00000.20, -00001.05, -00000.39, -00001.50, -00036.30,  00100.95,  00021.56, 434107109, -720614845, 387960, 252, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4190,  00008.79,  00011.23,  01013.67,  00000.26,  00003.72,  00000.22, -00001.50, -00035.55,  00099.00,  00021.66, 434107109, -720614845, 387960, 252, 28500565, 10.71, 5, 0.00, 94.00, 88.00, 90.00, 0, 2
4241,  00015.14,  00004.88,  01024.41,  00001.60,  00002.08,  00001.56, -00002.55, -00034.95,  00101.85,  00021.51, 434106998, -720614988, 394483, 371, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4292,  00010.25,  00018.07,  01000.49, -00001.85,  00002.75,  00002.05, -00000.75, -00035.25,  00101.25,  00021.75, 434106998, -720614988, 394483, 371, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4343,  00023.93,  00003.42,  01022.95, -00000.92,  00002.50,  00000.23, -00002.70, -00035.55,  00100.95,  00021.75, 434106910, -720615174, 401482, 302, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4395,  00009.28,  00016.11,  01019.53, -00001.69,  00002.96,  00002.50, -00001.80, -00035.70,  00099.60,  00021.56, 434106910, -720615174, 401482, 302, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 89.00, 0, 2
4446,  00000.98,  00014.16,  01026.37, -00001.40,  00000.66,  00004.96, -00001.35, -00035.70,  00101.85,  00021.66, 434106827, -720615356, 407996, 294, 28500565, 10.71, 5, 0.00, 94.00, 90.00, 90.00, 0, 2
4497,  00006.84,  00008.30,  01010.74, -00001.73,  00001.95,  00002.41, -00003.90, -00036.75,  00101.70,  00021.37, 434106827, -720615356, 407996, 294, 28500565, 10.71, 5, 0.00, 90.00, 90.00, 90.00, 0, 2
4548, -00006.35,  00009.77,  01010.74, -00001.21,  00003.58, -00000.37, -00001.50, -00036.75,  00100.20,  00021.70, 434106758, -720615516, 413909, 289, 28500565, 10.71, 5, 0.00, 95.00, 90.00, 90.00, 0, 2
