================================ Starting Log =================================
Current Time: 0-0-0 0:0:0.000
Time (ms), Scaled. Acc x (mg), Scaled. Acc y (mg), Scaled. Acc z (mg), Gyr (DPS) x, Gyr (DPS) y, Gyr (DPS) z, Mag (uT) x, Mag (uT) y, Mag (uT) z, Tmp (C), Lat, Lon, Alt (mm), Speed (mm/s), Heading (degrees * 10^-5), pDOP, SIV, Pressure (hPa), Reciever Throttle Val (0-180), Reciever Aileron Servo (deg), Reciever Elevator Servo (deg), Reciever Rudder Servo (deg), Auto Mode (deg), Aux ModeN, E, D, u, v, w, q1, q2, q3, q4, Servo Throttle Val (0-180), Servo Aileron Servo (deg), Servo Elevator Servo (deg), Servo Rudder Servo (deg), 
472,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00000.00,  00020.94, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
500, -00067.87,  00041.02,  01041.02, -00007.08,  00001.27, -00053.04,  00038.85, -00013.50,  00093.75,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
545, -00068.36,  00012.70,  01016.60, -00017.38,  00001.19, -00062.75,  00040.35, -00014.55,  00092.55,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 89.10, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 89.10
579, -00067.38,  00041.99,  01021.48, -00025.97,  00000.40, -00066.48,  00040.65, -00015.90,  00094.35,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
619, -00083.98,  00025.39,  01012.70, -00019.86,  00000.63, -00072.47,  00039.45, -00016.95,  00093.90,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
665, -00051.76, -00036.13,  01017.58, -00018.37,  00003.92, -00074.43,  00039.60, -00018.30,  00093.30,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
699, -00058.59, -00045.41,  01036.13, -00017.73,  00003.90, -00073.90,  00039.75, -00021.45,  00093.45,  00023.24, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
745, -00030.76, -00081.54,  01004.39, -00012.09,  00003.34, -00073.66,  00041.25, -00022.50,  00093.30,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
779, -00016.11, -00088.87,  00999.51, -00016.50,  00005.85, -00073.76,  00040.95, -00024.45,  00093.45,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
819, -00018.07, -00070.31,  00997.07, -00008.05,  00007.89, -00070.18,  00040.05, -00026.55,  00094.50,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
865, -00024.41, -00104.00,  01022.95,  00000.37,  00007.28, -00068.89,  00040.80, -00026.55,  00093.75,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
899, -00045.90, -00088.87,  01006.35,  00002.40,  00009.08, -00065.81,  00039.75, -00027.90,  00094.65,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 88.20, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 88.20, 94.50, 90.00
946, -00052.25, -00048.34,  01000.98,  00010.22,  00010.44, -00062.29,  00040.65, -00030.45,  00093.45,  00023.24, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
979, -00053.22, -00083.50,  01005.37,  00017.75,  00012.56, -00059.16,  00039.15, -00029.55,  00092.55,  00023.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1027, -00050.78, -00188.96,  01009.77,  00013.66,  00017.73, -00054.04,  00040.80, -00030.00,  00093.75,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1059, -00038.57, -00187.01,  00993.65, -00002.55,  00014.18, -00051.30,  00039.00, -00030.45,  00092.40,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1099, -00021.97, -00151.86,  00988.77, -00004.00,  00016.22, -00057.27,  00040.35, -00030.30,  00094.05,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1145, -00057.62, -00191.89,  00986.82, -00012.03,  00017.14, -00059.11,  00041.55, -00031.50,  00093.00,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 89.10, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 89.10
1179, -00062.99, -00200.20,  00963.38, -00022.59,  00016.85, -00056.08,  00039.45, -00033.90,  00092.40,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1219, -00054.69, -00212.89,  00983.89, -00029.40,  00012.02, -00062.88,  00039.45, -00034.95,  00091.65,  00023.05, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1265, -00074.71, -00201.66,  00979.00, -00040.43,  00008.12, -00061.45,  00039.75, -00037.20,  00091.65,  00023.24, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1299, -00066.41, -00123.54,  00966.31, -00033.78,  00005.34, -00061.00,  00040.80, -00039.75,  00090.60,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1345, -00065.43, -00192.38,  01016.11, -00017.30,  00004.83, -00054.78,  00037.65, -00041.55,  00089.85,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1379, -00063.96, -00217.29,  00984.37, -00017.00,  00001.12, -00051.91,  00037.95, -00042.00,  00089.10,  00023.14, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1419, -00044.43, -00267.58,  01007.81, -00017.57, -00003.02, -00045.86,  00036.60, -00042.15,  00089.40,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1465, -00026.86, -00291.02,  00983.89, -00014.30, -00002.37, -00036.99,  00035.85, -00045.90,  00088.95,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1499, -00005.37, -00329.10,  00967.29, -00009.24, -00000.76, -00030.89,  00036.00, -00045.30,  00088.05,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1545, -00024.90, -00357.42,  00962.40, -00005.18, -00000.30, -00016.80,  00033.60, -00046.50,  00088.05,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1580, -00015.14, -00390.62,  00951.66, -00000.39,  00000.72, -00010.35,  00034.95, -00046.20,  00088.95,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1626, -00020.51, -00460.45,  00964.84,  00000.27,  00001.89,  00006.85,  00034.20, -00046.20,  00087.75,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.90, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.90
1659,  00011.23, -00395.02,  00998.54, -00003.35,  00000.16,  00014.22,  00034.35, -00045.00,  00088.35,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1699, -00061.04, -00492.19,  00908.69,  00007.65,  00002.71,  00033.36,  00034.95, -00045.90,  00088.95,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1745, -00020.51, -00393.55,  00992.68, -00003.97,  00001.37,  00052.38,  00035.85, -00045.15,  00088.65,  00023.09, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1779, -00002.44, -00255.86,  01005.86,  00003.21, -00002.24,  00064.32,  00036.45, -00045.75,  00088.80,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1819, -00052.25, -00271.97,  00952.64,  00045.56,  00001.07,  00069.27,  00037.20, -00043.80,  00089.55,  00023.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1865, -00060.55, -00294.92,  00997.56,  00040.09,  00005.92,  00078.75,  00039.00, -00040.20,  00090.90,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1899, -00077.15, -00291.99,  00998.05,  00037.18,  00000.50,  00081.82,  00039.75, -00040.20,  00090.15,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1945, -00003.91, -00262.70,  00990.72,  00007.04, -00000.67,  00084.02,  00040.35, -00036.30,  00089.55,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
1979, -00067.38, -00185.55,  00967.77,  00013.08, -00004.89,  00082.85,  00041.25, -00034.50,  00091.05,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2019, -00018.55, -00221.19,  00961.43, -00008.01, -00007.50,  00085.35,  00042.00, -00033.00,  00091.50,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.90, 95.40, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2065, -00076.66, -00019.53,  00977.54,  00002.44, -00011.33,  00087.29,  00042.15, -00032.70,  00090.45,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2099, -00078.61, -00132.32,  00944.82,  00014.36, -00011.07,  00087.98,  00043.80, -00031.95,  00090.45,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 85.50, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 85.50, 94.50, 90.00
2145, -00088.38, -00007.32,  01036.62,  00010.82, -00015.22,  00089.89,  00042.45, -00030.75,  00092.55,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2179, -00099.12,  00041.99,  00973.14,  00039.76, -00015.73,  00083.23,  00043.80, -00026.70,  00091.65,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2226, -00056.64, -00079.59,  00979.98,  00032.25, -00011.24,  00082.79,  00043.95, -00023.55,  00092.25,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2259, -00084.96, -00014.65,  00992.19,  00025.11, -00011.76,  00074.98,  00042.45, -00022.05,  00092.25,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2299, -00072.27, -00082.03,  00942.87,  00015.07, -00012.31,  00068.97,  00041.25, -00019.80,  00093.75,  00023.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2345, -00105.96,  00079.10,  00996.58,  00006.21, -00010.24,  00056.55,  00041.40, -00020.40,  00093.45,  00023.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2379, -00075.20,  00083.01,  00932.13,  00016.85, -00009.73,  00045.55,  00039.75, -00018.15,  00093.15,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2426, -00077.64,  00053.71,  00970.21,  00009.71, -00009.18,  00033.69,  00039.15, -00015.75,  00094.50,  00023.67, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2459, -00081.54,  00050.29,  00963.87,  00003.66, -00007.66,  00022.23,  00039.45, -00016.20,  00093.15,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2499, -00076.66,  00037.11,  00966.31, -00009.38, -00008.27,  00011.73,  00039.60, -00016.50,  00094.80,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 86.40, 95.40, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 86.40, 95.40, 90.00
2545, -00092.29,  00047.85,  00990.72, -00019.01, -00003.33,  00000.85,  00037.65, -00016.80,  00093.75,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2579, -00074.71,  00047.36,  00992.19, -00015.01, -00005.59, -00001.44,  00039.00, -00016.65,  00094.35,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2619, -00028.32,  00016.60,  00996.58, -00011.82,  00001.34, -00008.21,  00037.35, -00017.70,  00093.15,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.90, 95.40, 90.00, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
2665, -00000.49, -00005.86,  01028.81, -00013.36,  00000.79, -00007.80,  00039.60, -00018.30,  00093.00,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2699,  00004.39,  00001.95,  01033.69, -00010.95, -00003.31, -00004.34,  00040.05, -00019.05,  00094.05,  00023.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2745,  00011.72, -00018.07,  01016.11, -00004.57, -00000.54, -00004.52,  00038.85, -00019.05,  00094.80,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
2779,  00030.76, -00013.18,  01021.00, -00005.37, -00005.44, -00002.39,  00039.00, -00018.90,  00095.10,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2819,  00014.65, -00000.49,  01020.02,  00002.12, -00009.02, -00003.24,  00038.25, -00017.70,  00094.65,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2866,  00027.34, -00025.39,  01038.09,  00003.01, -00011.31, -00003.91,  00037.95, -00018.30,  00094.05,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2899,  00028.81, -00056.64,  01061.52,  00001.00, -00012.98, -00005.55,  00037.35, -00018.45,  00096.15,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
2946,  00006.35, -00070.80,  01030.76, -00002.30, -00015.64, -00003.41,  00037.05, -00017.70,  00094.65,  00023.33, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
2979,  00026.37, -00040.53,  01041.50,  00001.32, -00013.83, -00005.63,  00037.35, -00018.90,  00095.85,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3019,  00025.88, -00048.34,  01050.78,  00004.02, -00009.94, -00004.74,  00036.00, -00017.25,  00096.00,  00023.57, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3065, -00178.22, -00083.01,  01405.27, -00000.64,  00005.99, -00000.09,  00036.00, -00019.05,  00094.80,  00023.09, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3099,  00126.95, -00144.04,  01219.24, -00002.75,  00004.40,  00003.11,  00036.00, -00017.55,  00096.00,  00023.62, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 91.80, 96.30, 90.90, 1, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 90.00, 90.00
3145, -00073.73, -00053.22,  01040.04, -00002.29,  00004.12,  00001.13,  00034.65, -00018.90,  00095.10,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3179,  00028.32, -00040.53,  00992.68, -00002.95, -00000.27,  00001.47,  00035.25, -00018.00,  00096.00,  00023.09, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3219,  00104.00, -00012.21,  01117.19,  00006.13,  00013.33,  00002.40,  00036.15, -00018.90,  00096.60,  00023.48, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3265,  00066.41, -00031.74,  00986.82,  00014.08,  00003.13,  00002.25,  00037.35, -00019.20,  00095.85,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
3299, -00033.20, -00015.62,  01029.30,  00012.61,  00000.87,  00004.94,  00036.15, -00018.45,  00095.40,  00023.43, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.90, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.90, 90.00, 94.50, 90.00
3345,  00019.53, -00060.06,  01007.32,  00017.93,  00004.83,  00007.60,  00037.35, -00018.15,  00095.10,  00023.29, 0, 0, 0, 0, 0, 99.99, 0, stuff, 0.00, 90.00, 94.50, 90.00, 0, 2, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 10.00, 0.00, 90.00, 94.50, 90.00
